ID,ProdID,Rating,ReviewCount,Category,Brand,Name,ImageURL,Description,Tags,Product Price
1705736792,2,1,1,Premium Beauty > Premium Makeup > Premium Nail Polish & Care > Premium Nail Polish,OPI,"OPI Infinite Shine, Nail Lacquer Nail Polish, Bubble Bath",https://i5.walmartimages.com/asr/0e1f4c51-c1a4-4f38-91bb-fd19317e3e20.aae056ad1dcaab1abc7f13c21ca53440.jpeg,,"premium, beauty, premium, makeup, premium, nail, polish, care, premium, nail, polish, opi, ",8.95
95,76,2,1,Beauty > Hair Care > Hair Color > Auburn Hair Color,Nice'n Easy,"Nice n Easy Permanent Color, 111 Natural Medium Auburn 1 ea (Pack of 3)",https://i5.walmartimages.com/asr/9c8e42e4-13a5-4b7e-aa1b-3af15267c55c_1.5e1a4b5e7161c6c26008e5c8f1569d7c.jpeg,"Pack of 3 Pack of 3 for the UPC: 381519000201 Beautiful, natural color. Active Ingredients: Color-Blend Formula: Water; Ethoxydiglycol; Propylene Glycol; Isopropyl Alcohol; Soytrimonium Chloride; Oleth-5; Oleic Acid; Ammonium Hydroxide; Trisodium Ethylenediamine Disuccinate; Fragrance; Oleth-2; C11-15 Pareth-9; Cocamidopropyl Betaine; C12-15 Pareth-3; Erythorbic Acid; Citric Acid; Sodium Sulfite; EDTA; p-Aminophenol; 4-Amino-2-Hydroxytoluene; p-Phenylenediamine; Resorcinol; 2-Methylresorcinol; N,N-Bis(2-Hydroxyethyl)-P-Phenylenediamine Sulfate; 1-Hydroxyethyl 4,5-Diamino Pyrazole Sulfate; Phenyl Methyl Pyrazolone; 1-Naphthol. Color-Blend Activator: Water; Hydrogen Peroxide; Acrylates Copolymer; Steareth-21; Oleth-2; Oleth-5; PEG-50 Hydrogenated Palmamide; Acrylates/Steareth-20 Methacrylate Copolymer; Oleyl Alcohol; Etidronic Acid; Disodium EDTA; Simethicone. Colorseal Conditioning Gloss: Water; Amodimethicone; Stearyl Alcohol; Cetyl Alcohol; Stearamidopropyl Dimethylamine; Glutamic Acid; Fragrance; Benzyl Alcohol; Panthenyl Ethyl Ether; EDTA; Panthenol; Trimethylsiloxysilicate Carthamus Tinctorius (Safflower) Seed Oil; Cocos Nucifera (Coconut) Oil; Hydrolyzed Sweet Almond Protein; Methylchloroisothiazolinone; Methylisothiazolinone; Aloe Barbadensis Leaf Uses: Salon experts know it takes a perfect blend of tones to create amazingly natural color results. Nice n Easy creates beautifully blended natural-looking shades for you, just like the experts, in one easy step! Q. How do I know if Nice n Easy is right for me? A. Nice n Easy gives you ultimate natural-looking color with highlights and shine in just one easy step. Browns are brilliant, blondes are illuminating, and reds are radiant. Q. How does it work? A. Only Nice n Easy has our exclusive Color-blend formula. In one step, each shade gives you an expert blend of 3 tones that work together to create natural-looking color with shining dimension. Q. Will it cover my grays? A. Yes! Nice n Easy promises 100% gray coverage even on resistant grays. Q. How long will it last? A. Nice n Easy lasts for up to 6 weeks. And for your radiant red shade, youll find 6 weekly treatments of our exclusive ColorSeal Conditioning Gloss to seal in healthy-looking color and add intense shine.","beauty, hair, care, hair, color, auburn, hair, color, easy, pack, 3, pack, 3, upc, 381519000201, beautiful, natural, color, active, ingredients, color, blend, formula, water, ethoxydiglycol, propylene, glycol, isopropyl, alcohol, soytrimonium, chloride, oleic, acid, ammonium, hydroxide, trisodium, ethylenediamine, disuccinate, fragrance, c11, 15, cocamidopropyl, betaine, c12, 15, erythorbic, acid, citric, acid, sodium, sulfite, edta, p, aminophenol, 4, hydroxytoluene, p, phenylenediamine, resorcinol, 2, methylresorcinol, n, n, phenylenediamine, sulfate, 1, hydroxyethyl, diamino, pyrazole, sulfate, phenyl, methyl, pyrazolone, 1, naphthol, color, blend, activator, water, hydrogen, peroxide, acrylates, copolymer, hydrogenated, palmamide, acrylates, methacrylate, copolymer, oleyl, alcohol, etidronic, acid, disodium, edta, simethicone, colorseal, conditioning, gloss, water, amodimethicone, stearyl, alcohol, cetyl, alcohol, stearamidopropyl, dimethylamine, glutamic, acid, fragrance, benzyl, alcohol, panthenyl, ethyl, ether, edta, panthenol, trimethylsiloxysilicate, carthamus, tinctorius, safflower, seed, oil, cocos, nucifera, coconut, oil, hydrolyzed, sweet, almond, protein, methylchloroisothiazolinone, methylisothiazolinone, aloe, barbadensis, leaf, uses, salon, experts, know, takes, perfect, blend, tones, create, amazingly, natural, color, results, nice, n, easy, creates, beautifully, blended, natural, looking, shades, like, experts, easy, step, know, nice, n, easy, right, nice, n, easy, gives, ultimate, natural, looking, color, highlights, shine, easy, step, browns, brilliant, blondes, illuminating, reds, radiant, work, nice, n, easy, exclusive, color, blend, formula, step, shade, gives, expert, blend, 3, tones, work, create, natural, looking, color, shining, dimension, cover, grays, yes, nice, n, easy, promises, 100, gray, coverage, resistant, grays, long, nice, n, easy, lasts, 6, weeks, radiant, red, shade, ll, find, 6, weekly, treatments, exclusive, colorseal, conditioning, gloss, seal, healthy, looking, color, add, intense, shine",29.86
8,8,4.5,29221,Beauty > Hair Care > Hair Color > Permanent Hair Color,Clairol,"Clairol Nice N Easy Permanent Color 7/106A Natural Dark Neutral Blonde, 1.0 KIT",https://i5.walmartimages.com/asr/e3a601c2-6a2b-4cc8-bb35-a9049930ded9_1.ab14e053feea88a9026baeca4d49cb77.jpeg | https://i5.walmartimages.com/asr/0486808b-9ce5-4df5-bf1e-da93f1dcbf83_1.dda3e2ede735f709cf380158706b30c5.jpeg | https://i5.walmartimages.com/asr/430f222f-7889-4016-836d-d82a9c4828b0_1.489791f211ea0d0b7afd6bdb49e4334a.jpeg | https://i5.walmartimages.com/asr/56b9720a-542d-4659-b96c-1b21538e841c_1.2d25a3568680a10f9fc13ec3bdb55936.jpeg | https://i5.walmartimages.com/asr/765046f4-f3f9-406d-8544-5f99dbc1b508_1.4bd398150d394b8480c4d6052b130b73.jpeg | https://i5.walmartimages.com/asr/2e393d46-7b44-41ed-afa2-dc1869f2500f_1.80b12f897c3321b65293529848062622.jpeg | https://i5.walmartimages.com/asr/757b7b18-c2a9-4677-bd5a-661175983ba1_1.219bca851bc5c1aa6d27067579a94d7b.jpeg,"This Clairol Nice N Easy Permanent Color gives you up to 8 weeks of true-to-you color with three salon tones for a blend of highlights and lowlights. Its expertly designed to work with your unique hair, to give you the stylish look you want. The neutral blonde color offers salon-quality permanent hair color without the cost. You can easily keep your color looking vibrant with Clairol CC+ ColorSeal Conditioner, which locks in softness and shine, sold separately. To cover grays between colorings, try Nice n Easy Root Touch-Up to blend seamlessly with your color. This natural dark hair color is easy to apply so you can have fresh looking color right from the comfort of your own home. The 7/106A comes as 1 kit, providing you with just what you need to color your hair as desired. Its available in many shades. This Clairol Nice N Easy Permanent Color will make a lovely addition to your haircare routine. Clairol Nice N Easy Permanent Color 7/106A Natural Dark Neutral Blonde, 1.0 Kit: Provides up to 8 weeks of color Made with 3 salon tones to offer a blend of highlights and lowlights Salon quality permanent color Neutral blonde color is easy to use Available in 10/87 Ultra Light Natural Blo, 118 Natural Medium, 2 Natural Black, 2.5/123 Soft Black, 2BB/124 Natural Blue Black, 3.5/121A Natural Darkest Brown, 4/120 Natural Dark Brown, 4GB/113 Natural Dark Burgundy4R/112 Natural Dark Auburn, 4W/1120B Dark Caramel Brown and more","beauty, hair, care, hair, color, permanent, hair, color, clairol, clairol, nice, n, easy, permanent, color, gives, 8, weeks, true, color, salon, tones, blend, highlights, lowlights, expertly, designed, work, unique, hair, stylish, look, want, neutral, blonde, color, offers, salon, quality, permanent, hair, color, cost, easily, color, looking, vibrant, clairol, colorseal, conditioner, locks, softness, shine, sold, separately, cover, grays, colorings, try, nice, n, easy, root, touch, blend, seamlessly, color, natural, dark, hair, color, easy, apply, fresh, looking, color, right, comfort, home, comes, 1, kit, providing, need, color, hair, desired, available, shades, clairol, nice, n, easy, permanent, color, lovely, addition, haircare, routine, clairol, nice, n, easy, permanent, color, natural, dark, neutral, blonde, kit, provides, 8, weeks, color, 3, salon, tones, offer, blend, highlights, lowlights, salon, quality, permanent, color, neutral, blonde, color, easy, use, available, ultra, light, natural, blo, 118, natural, medium, 2, natural, black, soft, black, natural, blue, black, natural, darkest, brown, natural, dark, brown, natural, dark, natural, dark, auburn, dark, caramel, brown",7.99
4,3,4.2,1,Beauty > Makeup > Lip,Kokie Cosmetics,"Kokie Professional Matte Lipstick, Hot Berry, 0.14 fl oz",https://i5.walmartimages.com/asr/25b4b467-bc61-4e59-ba14-a123866e3384_1.453b236381c1d21a20c646821a47da0a.jpeg,"Calling all matte lip lovers! Indulge in our rich, creamy matte lipsticks. Bold, long-lasting and opaque, these babies pack a serious punch! Pair with one of our lip liners for extra definition, or our lip primer for even longer wear. So go ahead and grab these for a matte lip that won?t quit.Kokie Professional Sienna Matte Lipstick: A highly-pigmented, rich, long-wear matte lipstick for intense color High payoff color Smooth matte application","beauty, makeup, lip, kokie, cosmetics, calling, matte, lip, lovers, indulge, rich, creamy, matte, lipsticks, bold, long, lasting, opaque, babies, pack, punch, pair, lip, liners, extra, definition, lip, primer, longer, wear, ahead, grab, matte, lip, professional, sienna, matte, lipstick, highly, pigmented, rich, long, wear, matte, lipstick, intense, color, high, payoff, color, smooth, matte, application",5.16
990,3,1.1,131,Seasonal > Stock Up Essentials > Personal Care Stock Up > Stock up on Shave,Gillette,"Gillette TRAC II Plus Razor Blade Refills, Fit TRAC II Handles, 10 ct",https://i5.walmartimages.com/asr/1a2ebb06-cd01-4c73-9c6a-28a9c5ff8c1d.49cd30de37f9863bc4b217384bdedbcc.jpeg | https://i5.walmartimages.com/asr/3201391a-02cd-44b4-9112-641e407b8333.4224c67e1423877e778c613cfc7695bc.jpeg | https://i5.walmartimages.com/asr/7d5f5581-1fa2-44f5-878b-9b07da3bcdab.f38f6a90c05b25f2acb3993f288096a0.jpeg | https://i5.walmartimages.com/asr/38f166ea-3ef0-4a80-97cd-390f3830618e.5c9b0fde0c76990a300846b3e4ccb506.jpeg | https://i5.walmartimages.com/asr/44337d82-c7fb-476e-85e3-34c6d198922f.0c84ac688d94f8d7df8be9299a5d70c5.jpeg | https://i5.walmartimages.com/asr/8c250c82-4c32-4afe-9541-a4791f333a90.a0ad3d2c46475242722732c4c79692c3.jpeg | https://i5.walmartimages.com/asr/e6e0df7a-2ce0-4ba1-809e-6bc5d26e3a9d.c08f23e98f2a55897c1698357004146c.jpeg,"In 1971, Gillette introduced the Trac II razor system. This Trac II razor was the first fixed head twin-blade shaving system of its kind in North America. Still popular today, get the close shave youve always wanted with these Gillette Trac II Plus razor blade refills. These blade refill cartridges feature a lubrastrip for great smoothness and comfort as well as twin comfort blades that glide across your skin for a clean, close comfortable shave. The lubrastrip for glide, helps fight razor burn. The easy loading system makes changing razor blades fast, and cleaning it is even easier, making this perfect for use on your face and neck – Just slide and reload. For an even better shave, use with your favorite Gillette shave gel, cream or foam. Each pack of Gillette Trac II Plus refills comes with 10 blade refills. The Gillette Trac II Plus refills fit any Gillette Trac II razor handle Gillette TRAC II Plus Razor Blade Refills, Fit TRAC II Handles, 10 Ct: LUBRASTRIP for glide, helps fight razor burn for comfort and smoothness TWIN BLADES - Fixed head twin blades that glide across your skin for a clean, close, comfortable shave EASY LOADING SYSTEM makes changing razor blades fast, and cleaning it is even easier, making this perfect for use on your face and neck – Just slide and reload 10 BLADE REFILLS - each pack contains 10 razor blade refills that will fit all Gillette Trac II handles For best results, use with your favorite Gillette Shave gel, cream or foam","seasonal, stock, essentials, personal, care, stock, stock, shave, gillette, 1971, gillette, introduced, trac, ii, razor, system, trac, ii, razor, fixed, head, twin, blade, shaving, system, kind, north, america, popular, today, close, shave, ve, wanted, gillette, trac, ii, plus, razor, blade, refills, blade, refill, cartridges, feature, lubrastrip, great, smoothness, comfort, twin, comfort, blades, glide, skin, clean, close, comfortable, shave, lubrastrip, glide, helps, fight, razor, burn, easy, loading, system, makes, changing, razor, blades, fast, cleaning, easier, making, perfect, use, face, neck, slide, reload, better, shave, use, favorite, gillette, shave, gel, cream, foam, pack, gillette, trac, ii, plus, refills, comes, 10, blade, refills, gillette, trac, ii, plus, refills, fit, gillette, trac, ii, razor, handle, gillette, trac, ii, plus, razor, blade, refills, fit, trac, ii, handles, 10, ct, lubrastrip, glide, helps, fight, razor, burn, comfort, smoothness, twin, blades, fixed, head, twin, blades, glide, skin, clean, close, comfortable, shave, easy, loading, system, makes, changing, razor, blades, fast, cleaning, easier, making, perfect, use, face, neck, slide, reload, 10, blade, refills, pack, contains, 10, razor, blade, refills, fit, gillette, trac, ii, handles, best, results, use, favorite, gillette, shave, gel, cream, foam",19.97
262,7569141059,4.6,52,Beauty > Hair Care > Hair Care Brands > Old Spice Haircare,Old Spice,"Old Spice Artisan Styling High Hold Matte Finish Molding Clay, 2.64 oz",https://i5.walmartimages.com/asr/73214b95-72ce-40f9-abdb-0457139c8923.adb0d9e009ea5b6754edcaf70f6de317.jpeg | https://i5.walmartimages.com/asr/4bfbf765-49bf-4819-b8df-f58d098c8cfd.49feca0a9c20973671fba565f81ee2c6.jpeg | https://i5.walmartimages.com/asr/98e92276-7f38-47bc-a08e-f7cb95699c69.f8eb0bd163a8957ac43fb4de08a4d39c.jpeg | https://i5.walmartimages.com/asr/60d1c8b0-487c-4c92-ae27-a45bfb16fa95.28d1c8c77cf97830089b7d04f0d00ad9.jpeg,"Old Spice Artisan Molding Clay is a Mens Styling product that allows men sculpt their hair into a moldable look with high hold and a matte finish. Old Spice Artisan Styling High Hold Matte Finish Molding Clay, 2.64 oz: Old Spice Artisan Molding Clay provides high hold and a matte finish Old Spice Artisan Molding Clay helps tame and shape your hair For a moldable look Available in one size: 75 g / 2.64 oz. puck","beauty, hair, care, hair, care, brands, old, spice, haircare, old, spice, old, spice, artisan, molding, clay, mens, styling, product, allows, men, sculpt, hair, moldable, look, high, hold, matte, finish, old, spice, artisan, styling, high, hold, matte, finish, molding, clay, oz, old, spice, artisan, molding, clay, provides, high, hold, matte, finish, old, spice, artisan, molding, clay, helps, tame, shape, hair, moldable, look, available, size, 75, g, oz, puck",6.97
5224642381,371,4.3,10,Personal Care > Oral Care > Kids Oral Care,Colgate,"Colgate My First Baby and Toddler Toothpaste, Fluoride Free and SLS Free, 1.75 Oz",https://i5.walmartimages.com/asr/d28b16f4-1bd4-4581-80de-aa0f2d9707ad_2.a2712e11bdd9f7b6f4e3cea4e3f9387f.png | https://i5.walmartimages.com/asr/bfea2590-c921-45f8-8e98-d496b560e60c_1.77eb422113008810678c47f1b0b3ff45.png | https://i5.walmartimages.com/asr/737c6682-ab22-4604-89c8-6fd642c43257_1.9ace2aba3177b3e6a5a070ec6c3d5b1b.png | https://i5.walmartimages.com/asr/8fe9d812-aa45-4b35-8d8c-500a362ce213_1.2bce5e6153db1dc8b02fb5d4aa23c4c2.png,"Colgate My First Baby and Toddler Toothpaste is a safe fluoride-free toothpaste formula for the littlest members of the family. This baby toothpaste, specially designed for kids under 2 years old, gently cleans teeth and does not contain artificial colors, preservatives, or SLS (sodium lauryl sulfate). With a mild fruit flavor that helps make brushing teeth more enjoyable, this baby and toddler toothpaste is designed with a convenient stand-up tube with twist off cap. Baby & Toddler Toothpaste Specially Designed for Kids Under 2 Years Old No Artificial Colors, Preservatives, or SLS (Sodium Lauryl Sulfate) Fluoride Free Toothpaste, Safe If Swallowed Mild Fruit Flavor to Enhance Brushing Experience Stand-Up Toothpaste Tube for Cleaner Dispensing","personal, care, oral, care, kids, oral, care, colgate, colgate, baby, toddler, toothpaste, safe, fluoride, free, toothpaste, formula, littlest, members, family, baby, toothpaste, specially, designed, kids, 2, years, old, gently, cleans, teeth, contain, artificial, colors, preservatives, sls, sodium, lauryl, sulfate, mild, fruit, flavor, helps, brushing, teeth, enjoyable, baby, toddler, toothpaste, designed, convenient, stand, tube, twist, cap, baby, toddler, toothpaste, specially, designed, kids, 2, years, old, artificial, colors, preservatives, sls, sodium, lauryl, sulfate, fluoride, free, toothpaste, safe, swallowed, mild, fruit, flavor, enhance, brushing, experience, stand, toothpaste, tube, cleaner, dispensing",2.94
6,0,4.3,1,Beauty > Makeup > Nails,BMC,BMC Bright and Loud Cream Gel Lacquer Polish Set - Neon Wasteland Collection,https://i5.walmartimages.com/asr/93f8bbf3-2dfd-463d-a2b1-f053f228ec71_1.127e64ffab0b55222799a1204d446d44.jpeg | https://i5.walmartimages.com/asr/fe8d4e2b-5f59-44d9-8d5b-474464883504_1.f1744918f11327fa444af5e17d009dbf.jpeg,"Lights, Sick Beats, and Epic Gel Polish! We present to you, Neon Wasteland. This 6 piece collection of neon colored is inspired by the biggest EDM festival and art show in Las Vegas. Each color will breed new, and bright, life into your next gel manicure. You can pick the 6 color master set or individual colors: COSMIC-A-GO-GO (G106), a neon orange that will have you standing out even in a bright EDM crowd, L.E.D. AIRWAVES (G107), a neon yellow so bright it�s the perfect accessories to your EDM outfit, FAIRY FANTASTIC (G108), a neon green so epic your EDMers will be flocking to your nails vs the DJ, DAISY DUST (G109), a neon pink so dramatic that a bright EDM art expo cant compare to your mani, DANCE-TRONAUTS (G110), a neon purple that will put onlookers in a trance like a deep bassline, and ELECTRIC FIELDS (G111), a neon blue so bright that not even an EDM light show can dull your mani. *NOTE*: This collection falls under a 3-Step application process: 1) Apply a thin layer of base coat to prepped, oil-free nails and cure under lighting system. 2) With the Cali Dreamin gel polish of your choosing, apply a thin layer to base coat. cure, and then repeat. 3) Apply a thin layer of top coat and cure. *Ingredients*: Acrylate Oligomers, Ultraviolet Light Initator, Acrylic Monomers, and Inorganic Pigments. *DISCLAIMERS*: Due to differences between monitor displays, actual color may vary slightly from image. b.m.c is a registered trademark of Remi Collections LLC and is exclusively distributed by Bundle Monster. The b.m.c trademark is protected by US Trademark Law. BIG, BLIGHT, AND BOLD COLORS will engulf your next gel manicure with these stunning polishes. NEON WASTELAND is a collection of neon gel lacques mused from the bass and lights of the EDM world. CREAMY AND DREAMY NAIL LACQUERS! All gel polishes in this collection has a creamy finish to them. UV and LED lamps need to have a minimum power of 9 watts. CURE TIMES vary per lighting system. SEE OUR PRODUCT DESCRIPTION for more on our 3 Step application process and other Tips and Tricks! BMC Bright and Loud Cream Gel Lacquer Polish Set - Neon Wasteland Collection","beauty, makeup, nails, bmc, lights, sick, beats, epic, gel, polish, present, neon, wasteland, 6, piece, collection, neon, colored, inspired, biggest, edm, festival, art, las, vegas, color, breed, new, bright, life, gel, manicure, pick, 6, color, master, set, individual, colors, cosmic, g106, neon, orange, standing, bright, edm, crowd, airwaves, g107, neon, yellow, bright, s, perfect, accessories, edm, outfit, fairy, fantastic, g108, neon, green, epic, edmers, flocking, nails, vs, dj, daisy, dust, g109, neon, pink, dramatic, bright, edm, art, expo, nt, compare, mani, dance, tronauts, g110, neon, purple, onlookers, trance, like, deep, bassline, electric, fields, g111, neon, blue, bright, edm, light, dull, mani, note, collection, falls, 3, step, application, process, 1, apply, thin, layer, base, coat, prepped, oil, free, nails, cure, lighting, system, 2, cali, dreamin, gel, polish, choosing, apply, thin, layer, base, coat, cure, repeat, 3, apply, thin, layer, coat, cure, ingredients, acrylate, oligomers, ultraviolet, light, initator, acrylic, monomers, inorganic, pigments, disclaimers, differences, monitor, displays, actual, color, vary, slightly, image, registered, trademark, remi, collections, llc, exclusively, distributed, bundle, monster, trademark, protected, trademark, law, big, blight, bold, colors, engulf, gel, manicure, stunning, polishes, neon, wasteland, collection, neon, gel, lacques, mused, bass, lights, edm, world, creamy, dreamy, nail, lacquers, gel, polishes, collection, creamy, finish, uv, led, lamps, need, minimum, power, 9, watts, cure, times, vary, lighting, system, product, description, 3, step, application, process, tips, tricks, bmc, bright, loud, cream, gel, lacquer, polish, set, neon, wasteland, collection",4.69
507,-9.22E+18,5,1,Beauty > Hair Care > Hair Care Brands > Suave,Suave,Suave Extra Hold 7 Shaping Mousse 9 oz (Pack of 6),https://i5.walmartimages.com/asr/05f5ba16-335d-418d-9b33-45346f68200c_1.9c7d14bf0f0acf199e0c0781e1f90f54.jpeg,"Free Shipping Pack of 6 Pack of 6 for the UPC: 079400816603 Say yes to beautiful. Active Ingredients: Water (Aqua); Isobutane; Dimethyl Ether; Polyquaternium-4; Propane; Cocamidopropyl Betaine; Glycerin; Steareth-2; DMDM Hydantoin; Fragrance (Parfum); Dimethiconol; TEA-Dodecylbenzenesulfonate; Laureth-23; Cyclomethicone; Tocopherol (Vitamin E); Panthenol; Butylene Glycol; AMP-Isostearoyl Hydrolyzed Soy Protein Uses: Provides control and manageability for less than more expensive brands. Extra hold formula gives hair body, volume and lift. Weightless formula leaves hair feeling soft and manageable. Vitamin and protein enriched formula replenishes all hair types. Never too stiff or sticky. Contains no CFCs.","beauty, hair, care, hair, care, brands, suave, suave, free, shipping, pack, 6, pack, 6, upc, 079400816603, yes, beautiful, active, ingredients, water, aqua, isobutane, dimethyl, ether, propane, cocamidopropyl, betaine, glycerin, dmdm, hydantoin, fragrance, parfum, dimethiconol, tea, dodecylbenzenesulfonate, cyclomethicone, tocopherol, vitamin, e, panthenol, butylene, glycol, amp, isostearoyl, hydrolyzed, soy, protein, uses, provides, control, manageability, expensive, brands, extra, hold, formula, gives, hair, body, volume, lift, weightless, formula, leaves, hair, feeling, soft, manageable, vitamin, protein, enriched, formula, replenishes, hair, types, stiff, sticky, contains, cfcs",24.19
32,-9.22E+18,4.1,950,Health > Lip Care > Vaseline,Vaseline,"(3 pack) Vaseline Lip Therapy Tinted Lip Balm Mini, Rosy 0.25 oz",https://i5.walmartimages.com/asr/6fced36e-5459-449f-9390-f239c379bd6a_1.75276199dfa8877b4d188f032029913f.jpeg | https://i5.walmartimages.com/asr/34e30627-9d35-4733-a4fc-720b0ab9a3b5_1.9c757d09408382e4b323fa8606c2b252.jpeg | https://i5.walmartimages.com/asr/9dcf61a4-9e42-4070-9d03-8495992a0bb7_1.8d62f2d74eab7e6178dc0cb128db099e.jpeg | https://i5.walmartimages.com/asr/6e737be5-e42c-4d57-82f5-8a2398b19633_1.4f0f06e450cdf4319ac7981a9f05004a.jpeg | https://i5.walmartimages.com/asr/9d45e3d7-be58-4a8c-bfc6-ef21db656a76_1.ad8ad1264e7c11807ca7b9f849600219.jpeg | https://i5.walmartimages.com/asr/b058a156-ba39-4a97-80a3-63355fc1905a_1.9f67075cc1bbadf55946efa63d004ec4.jpeg | https://i5.walmartimages.com/asr/af15b258-5139-4dca-bfaf-b3b5b8e7d02f_1.d36b6b954c900c833c6c87890b4fe9c5.jpeg,"Vaseline Lip Therapy Lip Balm Mini Rosy is clinically proven to help heal dry lips. The non-sticky formulas of Vaseline lip balm minis are invitingly soft and melt onto lips. The Vaseline Lip Therapy Rosy Mini comes in iconic packaging that fits neatly in your pocket or purse, so you can hydrate on-the-go. Vaseline for Lips is the perfect lip moisturizer. With its original formula, Vaseline Lip Therapy is a lip balm you can rely on that provides long-lasting relief from dryness. This everyday essential for healthy-looking lips is made with pure Vaseline Jelly, just like all Vaseline lip care products. Vaseline Jelly is the original wonder jelly that has been helping to heal dry skin since 1870, and now you can get all its benefits in a lip balm product exclusively designed for lips. The top, protective layer of skin on your lips is thinner than on the rest of your body, so it needs a lip balm that provides long lasting moisturization. These formulas help support the natural recovery of your dry lips by locking in moisture. Perfect for On-The-Go. The elements can be hard on your lips, so its essential to keep them moisturized. Vaseline Lip Therapy Lip Balm Mini Rosy is great for safeguarding against dryness caused by weather, so you can be confident that your lips are ready to face the outdoors. Vaseline Lip Therapy Rosy Tinted Lip Balm Mini, 0.25 oz Helps to lock in moisture for beautiful, healthy lips - good for a daily lip treatment This Vaseline lip moisturizer Gives lips a natural, glossy shine Tinted lip balm made from pure Vaseline Jelly Provides long-lasting moisturization and lip care Choose from original, rose, cocoa butter, and crÃ¨me brulee scented lip balm Non-sticky, non-greasy formula, this lip balm is suitable for regular use","health, lip, care, vaseline, vaseline, vaseline, lip, therapy, lip, balm, mini, rosy, clinically, proven, help, heal, dry, lips, non, sticky, formulas, vaseline, lip, balm, minis, invitingly, soft, melt, lips, vaseline, lip, therapy, rosy, mini, comes, iconic, packaging, fits, neatly, pocket, purse, hydrate, vaseline, lips, perfect, lip, moisturizer, original, formula, vaseline, lip, therapy, lip, balm, rely, provides, long, lasting, relief, dryness, everyday, essential, healthy, looking, lips, pure, vaseline, jelly, like, vaseline, lip, care, products, vaseline, jelly, original, wonder, jelly, helping, heal, dry, skin, 1870, benefits, lip, balm, product, exclusively, designed, lips, protective, layer, skin, lips, thinner, rest, body, needs, lip, balm, provides, long, lasting, moisturization, formulas, help, support, natural, recovery, dry, lips, locking, moisture, perfect, elements, hard, lips, essential, moisturized, vaseline, lip, therapy, lip, balm, mini, rosy, great, safeguarding, dryness, caused, weather, confident, lips, ready, face, outdoors, vaseline, lip, therapy, rosy, tinted, lip, balm, mini, oz, helps, lock, moisture, beautiful, healthy, lips, good, daily, lip, treatment, vaseline, lip, moisturizer, gives, lips, natural, glossy, shine, tinted, lip, balm, pure, vaseline, jelly, provides, long, lasting, moisturization, lip, care, choose, original, rose, cocoa, butter, brulee, scented, lip, balm, non, sticky, non, greasy, formula, lip, balm, suitable, regular, use",5.04
